Record,Date,UTC Time,
     50001,12/04/2021, 3:41:11,   1.730000E+02
     50002,12/04/2021, 3:41:21,   1.780000E+02
     50003,12/04/2021, 3:41:31,   1.830000E+02
     50004,12/04/2021, 3:41:41,   1.880000E+02
     50005,12/04/2021, 3:41:51,   1.930000E+02
     50006,12/04/2021, 3:42:01,   1.980000E+02
     50007,12/04/2021, 3:42:11,   2.000000E+00
     50008,12/04/2021, 3:42:21,   7.000000E+00
     50009,12/04/2021, 3:42:31,   1.200000E+01
     50010,12/04/2021, 3:42:41,   1.700000E+01
     50011,12/04/2021, 3:42:51,   2.200000E+01
     50012,12/04/2021, 3:43:01,   2.700000E+01
     50013,12/04/2021, 3:43:11,   3.200000E+01
     50014,12/04/2021, 3:43:21,   3.700000E+01
     50015,12/04/2021, 3:43:31,   4.200000E+01
     50016,12/04/2021, 3:43:41,   4.700000E+01
     50017,12/04/2021, 3:43:51,   5.200000E+01
     50018,12/04/2021, 3:44:01,   5.700000E+01
     50019,12/04/2021, 3:44:11,   6.200000E+01
     50020,12/04/2021, 3:44:21,   6.700000E+01
     50021,12/04/2021, 3:44:31,   7.200000E+01
     50022,12/04/2021, 3:44:41,   7.700000E+01
     50023,12/04/2021, 3:44:51,   8.200000E+01
     50024,12/04/2021, 3:45:01,   8.700000E+01
     50025,12/04/2021, 3:45:11,   9.200000E+01
     50026,12/04/2021, 3:45:21,   9.700000E+01
     50027,12/04/2021, 3:45:31,   1.020000E+02
     50028,12/04/2021, 3:45:41,   1.070000E+02
     50029,12/04/2021, 3:45:51,   1.120000E+02
     50030,12/04/2021, 3:46:01,   1.170000E+02
     50031,12/04/2021, 3:46:11,   1.220000E+02
     50032,12/04/2021, 3:46:21,   1.270000E+02
     50033,12/04/2021, 3:46:31,   1.320000E+02
     50034,12/04/2021, 3:46:41,   1.370000E+02
     50035,12/04/2021, 3:46:51,   1.420000E+02
     50036,12/04/2021, 3:47:01,   1.470000E+02
     50037,12/04/2021, 3:47:11,   1.520000E+02
     50038,12/04/2021, 3:47:21,   1.570000E+02
     50039,12/04/2021, 3:47:31,   1.620000E+02
     50040,12/04/2021, 3:47:41,   1.670000E+02
     50041,12/04/2021, 5:47:51,   1.540000E+02
